geo_code,geo_name,date_monday,year_iso,week_iso_num,taux_passages_urgences,MNP_score,tmean,workplaces,retail_and_recreation,couv_complet
76,Occitanie,2022-08-01,2022,31,138.70541612,,19.18285714285714,-21.428571428571427,27.0,17.469440452935483
76,Occitanie,2022-08-08,2022,32,158.50144092,,22.798571428571428,-27.0,27.571428571428573,17.47090361844665
76,Occitanie,2022-08-15,2022,33,120.21036814,,19.482857142857146,-30.428571428571427,23.428571428571427,17.4723544953337
76,Occitanie,2022-08-22,2022,34,143.94580864,,20.15285714285714,-17.571428571428573,16.571428571428573,17.473630873758335
76,Occitanie,2022-08-29,2022,35,180.72289157,,19.981428571428573,-10.142857142857142,10.571428571428571,17.475112062584866
76,Occitanie,2022-09-05,2022,36,242.07011686,,18.59428571428571,-7.0,10.142857142857142,17.476555156676646
76,Occitanie,2022-09-12,2022,37,396.60056657,,17.04285714285714,-6.142857142857143,7.571428571428571,17.477670144504586
76,Occitanie,2022-09-19,2022,38,470.43010753,,13.832857142857142,-5.714285714285714,3.2857142857142856,17.478740483664907
76,Occitanie,2022-09-26,2022,39,642.9463171,,13.335714285714284,-3.5714285714285716,2.857142857142857,17.479905854851715
76,Occitanie,2022-10-03,2022,40,802.23880597,,13.805714285714286,-2.2857142857142856,3.142857142857143,17.481081876179417
76,Occitanie,2022-10-10,2022,41,989.52270081,,13.894285714285717,-4.333333333333333,-2.5,17.4821694194135
76,Occitanie,2022-10-17,2022,42,1083.2907511,,17.21,,,17.483252456818743
76,Occitanie,2022-10-24,2022,43,1790.3525046,,16.68,,,17.48431050735495
76,Occitanie,2022-10-31,2022,44,1937.7004123,,11.944285714285714,,,17.485252225582883
76,Occitanie,2022-11-07,2022,45,2004.1429311,,11.992857142857144,,,17.486041974492604
76,Occitanie,2022-11-14,2022,46,2493.0875576,,10.391428571428571,,,17.486821073261428
76,Occitanie,2022-11-21,2022,47,2767.3692428,,9.26,,,17.487718962063354
76,Occitanie,2022-11-28,2022,48,2786.4380359,,4.941428571428572,,,17.488500108936194
76,Occitanie,2022-12-05,2022,49,2469.8795181,,2.36,,,17.489295182916365
76,Occitanie,2022-12-12,2022,50,2044.9438202,,0.0899999999999999,,,17.490149242292286
76,Occitanie,2022-12-19,2022,51,1937.6391982,,10.172857142857143,,,17.491026240433214
76,Occitanie,2022-12-26,2022,52,1844.1323063,,10.022857142857143,,,17.491723824662085
76,Occitanie,2023-01-02,2023,1,1628.9893617,,10.11285714285714,,,17.492290330233736
76,Occitanie,2023-01-09,2023,2,1261.829653,,8.81,,,
76,Occitanie,2023-01-16,2023,3,1233.8593974,,2.634285714285714,,,
76,Occitanie,2023-01-23,2023,4,1195.891416,,3.642857142857143,,,
76,Occitanie,2023-01-30,2023,5,971.24600639,,7.701428571428571,,,
76,Occitanie,2023-02-06,2023,6,834.46404342,,4.722857142857143,,,
76,Occitanie,2023-02-13,2023,7,801.91502095,,8.881428571428572,,,
76,Occitanie,2023-02-20,2023,8,668.38046272,,6.138571428571429,,,
